职位名称,职位链接,职位类别,人数,工作地点,发布时间
['CB-海外人力资源高级经理'],['position_detail.php?id=40069&keywords=&tid=0&lid=0'],['职能类'],['1'],['深圳'],['2018-05-07']
['15581-欢乐斗棋牌Unity开发工程师（深圳）'],['position_detail.php?id=40070&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG16-腾讯音乐音乐曲库运营（深圳）'],['position_detail.php?id=40072&keywords=&tid=0&lid=0'],['内容编辑类'],['1'],['深圳'],['2018-05-07']
['WXG01-117 微信客户端 Android 开发工程师（广州）'],['position_detail.php?id=40060&keywords=&tid=0&lid=0'],['技术类'],['4'],['广州'],['2018-05-07']
['MIG03-车联网高级视觉设计师'],['position_detail.php?id=40062&keywords=&tid=0&lid=0'],['设计类'],['1'],['北京'],['2018-05-07']
['WXG08-113 微信搜索开放后台开发工程师（深圳）'],['position_detail.php?id=40063&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['SNG01-腾讯文档Web前端开发工程师（深圳）'],['position_detail.php?id=40066&keywords=&tid=0&lid=0'],['技术类'],['4'],['深圳'],['2018-05-07']
['SNG04-QQ看点推送系统后台研发工程师（深圳）'],['position_detail.php?id=40052&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['WXG06-212 微信支付金融产品策划经理（深圳）'],['position_detail.php?id=40059&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['SNG11-业务运维工程师（深圳）'],['position_detail.php?id=40061&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ支付后台开发工程师'],['position_detail.php?id=39999&keywords=&tid=0&lid=0'],['技术类'],['2'],['深圳'],['2018-05-07']
['OMG192-腾讯广告销售经理（上海）'],['position_detail.php?id=40001&keywords=&tid=0&lid=0'],['市场类'],['1'],['上海'],['2018-05-07']
['15851-游戏音频开发工程师（深圳）'],['position_detail.php?id=40006&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ钱包Android开发工程师（深圳）'],['position_detail.php?id=39993&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ钱包后台开发工程师（深圳）'],['position_detail.php?id=39995&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ支付web前端开发工程师（深圳）'],['position_detail.php?id=39996&keywords=&tid=0&lid=0'],['技术类'],['1'],['深圳'],['2018-05-07']
['SNG17-QQ钱包产品运营经理（深圳）'],['position_detail.php?id=39997&keywords=&tid=0&lid=0'],['产品/项目类'],['2'],['深圳'],['2018-05-07']
['SNG17-QQ支付产品策划经理（深圳）'],['position_detail.php?id=39998&keywords=&tid=0&lid=0'],['产品/项目类'],['1'],['深圳'],['2018-05-07']
['OMG192-腾讯广告渠道销售经理（深圳）'],['position_detail.php?id=40000&keywords=&tid=0&lid=0'],['市场类'],['1'],['深圳'],['2018-05-07']
